Day,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
48,1,56.9666,0.03475,50.849,52.361,53.243,53.71,54.43,54.915,55.631,56.967,58.302,59.018,59.504,60.223,60.69,61.572,63.084
49,1,57.0851,0.0347,50.964,52.477,53.36,53.827,54.547,55.032,55.749,57.085,58.421,59.138,59.624,60.343,60.811,61.693,63.206
50,1,57.2026,0.03466,51.076,52.59,53.474,53.941,54.662,55.148,55.865,57.203,58.54,59.257,59.743,60.464,60.932,61.815,63.329
51,1,57.3192,0.03462,51.187,52.703,53.587,54.055,54.776,55.263,55.981,57.319,58.658,59.376,59.862,60.583,61.051,61.936,63.451
52,1,57.4349,0.03458,51.297,52.815,53.699,54.168,54.89,55.376,56.095,57.435,58.775,59.493,59.98,60.702,61.17,62.055,63.572
53,1,57.5497,0.03454,51.407,52.925,53.811,54.28,55.002,55.49,56.209,57.55,58.89,59.61,60.097,60.819,61.288,62.174,63.692
54,1,57.6637,0.0345,51.516,53.036,53.922,54.391,55.114,55.602,56.322,57.664,59.006,59.726,60.213,60.936,61.405,62.292,63.811
55,1,57.7767,0.03446,51.624,53.145,54.032,54.502,55.225,55.713,56.434,57.777,59.12,59.84,60.328,61.052,61.521,62.408,63.929
56,1,57.8889,0.03442,51.732,53.254,54.141,54.611,55.335,55.824,56.545,57.889,59.233,59.954,60.442,61.166,61.636,62.524,64.046
57,1,58.0003,0.03438,51.838,53.361,54.25,54.72,55.445,55.934,56.655,58,59.345,60.067,60.556,61.28,61.751,62.639,64.162
58,1,58.1109,0.03434,51.944,53.469,54.358,54.829,55.554,56.043,56.765,58.111,59.457,60.179,60.668,61.393,61.864,62.753,64.278
59,1,58.2207,0.03431,52.048,53.574,54.464,54.935,55.661,56.15,56.873,58.221,59.568,60.291,60.781,61.506,61.978,62.868,64.394
60,1,58.3299,0.03427,52.153,53.68,54.57,55.042,55.768,56.258,56.982,58.33,59.678,60.402,60.892,61.618,62.09,62.98,64.507
61,1,58.4384,0.03423,52.257,53.785,54.676,55.148,55.875,56.365,57.089,58.438,59.788,60.512,61.002,61.729,62.201,63.092,64.62
62,1,58.5463,0.0342,52.359,53.888,54.78,55.253,55.98,56.471,57.196,58.546,59.897,60.622,61.112,61.84,62.312,63.204,64.734
63,1,58.6536,0.03416,52.462,53.993,54.885,55.358,56.086,56.577,57.302,58.654,60.005,60.73,61.221,61.949,62.422,63.315,64.845
64,1,58.7603,0.03412,52.565,54.096,54.989,55.463,56.191,56.682,57.408,58.76,60.113,60.838,61.33,62.058,62.531,63.424,64.956
65,1,58.8664,0.03409,52.665,54.198,55.092,55.566,56.295,56.787,57.513,58.866,60.22,60.946,61.438,62.167,62.641,63.535,65.068
66,1,58.9718,0.03405,52.767,54.301,55.195,55.669,56.398,56.891,57.617,58.972,60.326,61.053,61.545,62.275,62.748,63.643,65.177
67,1,59.0766,0.03402,52.866,54.401,55.297,55.771,56.501,56.994,57.721,59.077,60.432,61.16,61.652,62.382,62.857,63.752,65.287
68,1,59.1808,0.03398,52.966,54.503,55.399,55.873,56.604,57.097,57.824,59.181,60.537,61.265,61.758,62.489,62.963,63.859,65.395
69,1,59.2843,0.03395,53.065,54.602,55.499,55.974,56.705,57.198,57.927,59.284,60.642,61.37,61.864,62.595,63.07,63.967,65.504
70,1,59.3872,0.03392,53.162,54.701,55.599,56.074,56.806,57.299,58.028,59.387,60.746,61.475,61.969,62.701,63.176,64.073,65.612
71,1,59.4894,0.03388,53.261,54.801,55.699,56.174,56.906,57.4,58.13,59.489,60.849,61.578,62.072,62.805,63.28,64.178,65.718
72,1,59.591,0.03385,53.358,54.898,55.797,56.273,57.006,57.5,58.23,59.591,60.952,61.682,62.176,62.909,63.385,64.284,65.824
73,1,59.692,0.03382,53.453,54.996,55.895,56.371,57.105,57.6,58.33,59.692,61.054,61.784,62.279,63.013,63.489,64.388,65.931
74,1,59.7923,0.03379,53.549,55.092,55.992,56.469,57.203,57.698,58.43,59.792,61.155,61.886,62.382,63.116,63.592,64.492,66.036
75,1,59.892,0.03375,53.646,55.19,56.09,56.567,57.302,57.797,58.529,59.892,61.255,61.987,62.482,63.217,63.694,64.594,66.138
76,1,59.991,0.03372,53.74,55.285,56.186,56.664,57.399,57.894,58.627,59.991,61.355,62.088,62.583,63.318,63.796,64.697,66.242
77,1,60.0894,0.03369,53.833,55.38,56.282,56.76,57.495,57.991,58.724,60.089,61.455,62.188,62.684,63.419,63.897,64.799,66.345
78,1,60.1872,0.03366,53.927,55.474,56.377,56.855,57.591,58.087,58.821,60.187,61.554,62.287,62.783,63.52,63.998,64.9,66.448
79,1,60.2843,0.03363,54.019,55.568,56.471,56.95,57.686,58.183,58.917,60.284,61.652,62.386,62.882,63.619,64.097,65.001,66.549
80,1,60.3808,0.0336,54.111,55.661,56.565,57.044,57.781,58.278,59.012,60.381,61.749,62.484,62.981,63.718,64.197,65.1,66.65
81,1,60.4767,0.03357,54.203,55.754,56.658,57.137,57.875,58.373,59.107,60.477,61.846,62.581,63.079,63.816,64.295,65.2,66.75
82,1,60.5719,0.03354,54.294,55.846,56.751,57.23,57.968,58.466,59.202,60.572,61.942,62.677,63.175,63.914,64.393,65.298,66.85
83,1,60.6665,0.03351,54.384,55.937,56.843,57.323,58.061,58.559,59.295,60.667,62.038,62.774,63.272,64.01,64.49,65.396,66.949
84,1,60.7605,0.03348,54.474,56.028,56.934,57.414,58.153,58.652,59.388,60.761,62.133,62.869,63.368,64.107,64.587,65.493,67.047
85,1,60.8539,0.03345,54.564,56.118,57.025,57.506,58.245,58.744,59.481,60.854,62.227,62.964,63.463,64.202,64.682,65.589,67.144
86,1,60.9466,0.03342,54.652,56.208,57.116,57.596,58.336,58.836,59.573,60.947,62.32,63.058,63.557,64.297,64.777,65.685,67.241
87,1,61.0388,0.0334,54.739,56.296,57.204,57.685,58.426,58.926,59.664,61.039,62.414,63.152,63.651,64.392,64.873,65.782,67.339
88,1,61.1303,0.03337,54.826,56.385,57.294,57.775,58.516,59.016,59.754,61.13,62.506,63.245,63.745,64.486,64.967,65.876,67.434
89,1,61.2212,0.03334,54.914,56.473,57.382,57.864,58.605,59.106,59.844,61.221,62.598,63.337,63.837,64.579,65.06,65.97,67.529
90,1,61.3115,0.03331,55,56.56,57.47,57.952,58.694,59.195,59.934,61.312,62.689,63.428,63.929,64.671,65.153,66.063,67.623
91,1,61.4013,0.03329,55.085,56.646,57.557,58.039,58.782,59.283,60.023,61.401,62.78,63.52,64.021,64.763,65.246,66.156,67.718
92,1,61.4904,0.03326,55.17,56.733,57.644,58.126,58.869,59.371,60.111,61.49,62.87,63.61,64.111,64.854,65.337,66.248,67.81
93,1,61.579,0.03323,55.256,56.819,57.73,58.213,58.957,59.458,60.199,61.579,62.959,63.7,64.201,64.945,65.428,66.339,67.902
94,1,61.667,0.03321,55.338,56.903,57.815,58.298,59.042,59.544,60.286,61.667,63.048,63.79,64.292,65.036,65.519,66.431,67.996
95,1,61.7543,0.03318,55.422,56.988,57.901,58.384,59.128,59.631,60.372,61.754,63.136,63.878,64.38,65.125,65.608,66.521,68.086
96,1,61.8411,0.03316,55.504,57.071,57.984,58.468,59.213,59.716,60.458,61.841,63.224,63.966,64.469,65.214,65.698,66.612,68.178
97,1,61.9274,0.03313,55.587,57.155,58.069,58.553,59.298,59.801,60.544,61.927,63.311,64.054,64.557,65.302,65.786,66.7,68.267
98,1,62.013,0.03311,55.668,57.236,58.151,58.636,59.382,59.885,60.628,62.013,63.398,64.141,64.644,65.39,65.875,66.79,68.358
99,1,62.0981,0.03308,55.75,57.319,58.235,58.719,59.466,59.969,60.713,62.098,63.484,64.227,64.731,65.477,65.962,66.877,68.446
100,1,62.1826,0.03306,55.83,57.4,58.316,58.801,59.548,60.052,60.796,62.183,63.569,64.313,64.817,65.564,66.049,66.965,68.535
101,1,62.2665,0.03303,55.911,57.482,58.398,58.884,59.631,60.135,60.879,62.267,63.654,64.398,64.902,65.649,66.135,67.051,68.622
102,1,62.3499,0.03301,55.99,57.562,58.479,58.965,59.712,60.217,60.962,62.35,63.738,64.483,64.988,65.735,66.221,67.138,68.71
103,1,62.4327,0.03298,56.07,57.643,58.56,59.046,59.794,60.299,61.044,62.433,63.821,64.567,65.071,65.82,66.305,67.223,68.796
104,1,62.5149,0.03296,56.148,57.721,58.64,59.126,59.874,60.379,61.125,62.515,63.905,64.65,65.156,65.904,66.39,67.308,68.882
105,1,62.5966,0.03294,56.225,57.8,58.719,59.205,59.954,60.46,61.206,62.597,63.987,64.734,65.239,65.988,66.475,67.393,68.968
106,1,62.6778,0.03291,56.303,57.879,58.798,59.285,60.034,60.54,61.287,62.678,64.069,64.816,65.321,66.071,66.557,67.476,69.052
107,1,62.7584,0.03289,56.38,57.957,58.876,59.363,60.113,60.619,61.366,62.758,64.151,64.898,65.404,66.154,66.641,67.56,69.137
108,1,62.8384,0.03287,56.456,58.033,58.954,59.441,60.191,60.698,61.445,62.838,64.232,64.979,65.485,66.236,66.723,67.643,69.221
109,1,62.918,0.03284,56.533,58.111,59.032,59.519,60.27,60.776,61.524,62.918,64.312,65.06,65.566,66.317,66.804,67.725,69.303
110,1,62.9969,0.03282,56.608,58.187,59.108,59.596,60.347,60.854,61.602,62.997,64.391,65.14,65.647,66.398,66.886,67.807,69.386
111,1,63.0754,0.0328,56.682,58.262,59.184,59.672,60.424,60.931,61.68,63.075,64.471,65.22,65.727,66.478,66.967,67.888,69.469
112,1,63.1533,0.03278,56.756,58.337,59.26,59.748,60.5,61.008,61.757,63.153,64.55,65.299,65.806,66.558,67.047,67.969,69.551
113,1,63.2307,0.03276,56.829,58.412,59.335,59.823,60.576,61.084,61.834,63.231,64.628,65.378,65.885,66.638,67.127,68.05,69.632
114,1,63.3076,0.03273,56.904,58.487,59.41,59.899,60.652,61.16,61.91,63.308,64.705,65.455,65.963,66.716,67.205,68.128,69.711
115,1,63.3839,0.03271,56.977,58.561,59.484,59.974,60.727,61.235,61.985,63.384,64.782,65.533,66.041,66.794,67.283,68.207,69.791
116,1,63.4598,0.03269,57.049,58.634,59.558,60.048,60.801,61.31,62.061,63.46,64.859,65.61,66.118,66.872,67.362,68.286,69.87
117,1,63.5351,0.03267,57.121,58.706,59.631,60.121,60.875,61.384,62.135,63.535,64.935,65.686,66.195,66.949,67.439,68.364,69.949
118,1,63.6099,0.03265,57.192,58.778,59.704,60.194,60.948,61.457,62.209,63.61,65.011,65.762,66.272,67.026,67.516,68.441,70.028
119,1,63.6842,0.03263,57.263,58.85,59.776,60.266,61.021,61.53,62.283,63.684,65.086,65.838,66.347,67.102,67.593,68.518,70.106
120,1,63.758,0.03261,57.333,58.921,59.848,60.338,61.093,61.603,62.356,63.758,65.16,65.913,66.423,67.178,67.668,68.595,70.183
121,1,63.8313,0.03259,57.403,58.992,59.919,60.41,61.165,61.675,62.428,63.831,65.234,65.987,66.497,67.253,67.744,68.671,70.26
122,1,63.9041,0.03257,57.472,59.062,59.989,60.481,61.237,61.747,62.5,63.904,65.308,66.061,66.571,67.328,67.819,68.746,70.336
123,1,63.9765,0.03255,57.541,59.132,60.06,60.551,61.308,61.818,62.572,63.977,65.381,66.135,66.645,67.402,67.893,68.821,70.412
124,1,64.0483,0.03253,57.61,59.201,60.13,60.621,61.378,61.889,62.643,64.048,65.454,66.208,66.718,67.475,67.967,68.895,70.487
125,1,64.1197,0.03251,57.678,59.27,60.199,60.691,61.448,61.959,62.714,64.12,65.526,66.28,66.791,67.548,68.04,68.969,70.561
126,1,64.1906,0.03249,57.746,59.339,60.268,60.76,61.518,62.029,62.784,64.191,65.597,66.352,66.863,67.621,68.113,69.042,70.635
127,1,64.261,0.03247,57.813,59.407,60.337,60.829,61.587,62.098,62.854,64.261,65.668,66.424,66.935,67.693,68.185,69.115,70.709
128,1,64.331,0.03245,57.88,59.475,60.405,60.897,61.656,62.167,62.923,64.331,65.739,66.495,67.006,67.765,68.257,69.187,70.782
129,1,64.4006,0.03243,57.947,59.542,60.473,60.965,61.724,62.236,62.992,64.401,65.809,66.565,67.077,67.836,68.329,69.259,70.855
130,1,64.4697,0.03241,58.013,59.609,60.54,61.033,61.792,62.304,63.06,64.47,65.879,66.635,67.147,67.907,68.4,69.331,70.927
131,1,64.5383,0.03239,58.078,59.675,60.607,61.1,61.859,62.372,63.128,64.538,65.948,66.705,67.217,67.977,68.47,69.401,70.998
132,1,64.6066,0.03238,58.142,59.74,60.672,61.166,61.926,62.438,63.196,64.607,66.018,66.775,67.288,68.048,68.541,69.473,71.071
133,1,64.6744,0.03236,58.207,59.806,60.738,61.232,61.992,62.505,63.263,64.674,66.086,66.844,67.357,68.117,68.611,69.543,71.142
134,1,64.7418,0.03234,58.272,59.871,60.804,61.298,62.059,62.572,63.33,64.742,66.154,66.912,67.425,68.186,68.68,69.613,71.212
135,1,64.8088,0.03232,58.336,59.936,60.869,61.363,62.124,62.638,63.396,64.809,66.222,66.98,67.493,68.254,68.748,69.682,71.282
136,1,64.8755,0.0323,58.4,60.001,60.934,61.429,62.19,62.704,63.462,64.876,66.289,67.047,67.561,68.322,68.817,69.75,71.351
137,1,64.9417,0.03229,58.462,60.063,60.998,61.492,62.254,62.768,63.527,64.942,66.356,67.115,67.629,68.391,68.886,69.82,71.422
138,1,65.0075,0.03227,58.525,60.127,61.062,61.557,62.319,62.833,63.593,65.007,66.422,67.182,67.696,68.458,68.953,69.888,71.49
139,1,65.073,0.03225,58.588,60.191,61.126,61.621,62.384,62.898,63.658,65.073,66.488,67.248,67.762,68.525,69.02,69.955,71.558
140,1,65.138,0.03223,58.65,60.254,61.189,61.685,62.448,62.962,63.722,65.138,66.554,67.314,67.828,68.591,69.087,70.022,71.626
141,1,65.2027,0.03222,58.711,60.315,61.251,61.747,62.51,63.025,63.786,65.203,66.62,67.38,67.895,68.658,69.154,70.09,71.695
142,1,65.2671,0.0322,58.773,60.378,61.314,61.81,62.574,63.089,63.85,65.267,66.685,67.445,67.96,68.724,69.22,70.156,71.762
143,1,65.331,0.03218,58.834,60.44,61.377,61.873,62.637,63.152,63.913,65.331,66.749,67.51,68.025,68.789,69.285,70.222,71.828
144,1,65.3946,0.03217,58.894,60.501,61.438,61.934,62.699,63.214,63.976,65.395,66.814,67.575,68.091,68.855,69.351,70.289,71.896
145,1,65.4579,0.03215,58.955,60.562,61.5,61.996,62.761,63.277,64.038,65.458,66.877,67.639,68.155,68.919,69.416,70.354,71.961
146,1,65.5208,0.03214,59.013,60.622,61.56,62.057,62.822,63.338,64.1,65.521,66.941,67.703,68.22,68.985,69.481,70.42,72.028
147,1,65.5834,0.03212,59.074,60.683,61.621,62.118,62.884,63.4,64.163,65.583,67.004,67.767,68.283,69.048,69.545,70.484,72.093
148,1,65.6456,0.0321,59.134,60.743,61.682,62.18,62.945,63.462,64.224,65.646,67.067,67.83,68.346,69.112,69.609,70.548,72.157
149,1,65.7075,0.03209,59.192,60.802,61.742,62.239,63.005,63.522,64.285,65.708,67.13,67.893,68.41,69.176,69.673,70.613,72.223
150,1,65.769,0.03207,59.251,60.862,61.802,62.3,63.066,63.583,64.346,65.769,67.192,67.955,68.472,69.238,69.736,70.676,72.287
151,1,65.8303,0.03206,59.308,60.92,61.861,62.359,63.126,63.643,64.407,65.83,67.254,68.018,68.535,69.302,69.8,70.74,72.352
152,1,65.8912,0.03204,59.367,60.98,61.921,62.419,63.186,63.703,64.467,65.891,67.315,68.079,68.597,69.364,69.862,70.802,72.415
153,1,65.9518,0.03203,59.424,61.038,61.979,62.477,63.245,63.762,64.527,65.952,67.377,68.141,68.659,69.426,69.925,70.866,72.48
154,1,66.0121,0.03201,59.482,61.096,62.038,62.536,63.304,63.822,64.587,66.012,67.437,68.202,68.72,69.488,69.986,70.928,72.542
155,1,66.0721,0.032,59.538,61.153,62.096,62.594,63.363,63.881,64.646,66.072,67.498,68.263,68.782,69.55,70.049,70.991,72.606
156,1,66.1317,0.03198,59.596,61.212,62.154,62.653,63.421,63.94,64.705,66.132,67.558,68.324,68.842,69.61,70.109,71.052,72.667
157,1,66.1911,0.03197,59.652,61.268,62.211,62.71,63.479,63.998,64.764,66.191,67.618,68.384,68.903,69.672,70.171,71.114,72.73
158,1,66.2502,0.03196,59.707,61.324,62.268,62.767,63.537,64.056,64.822,66.25,67.678,68.445,68.964,69.733,70.233,71.176,72.793
159,1,66.3089,0.03194,59.764,61.382,62.326,62.825,63.595,64.114,64.88,66.309,67.737,68.504,69.023,69.793,70.292,71.236,72.854
160,1,66.3674,0.03193,59.819,61.438,62.382,62.882,63.652,64.171,64.938,66.367,67.797,68.564,69.083,69.853,70.353,71.297,72.916
161,1,66.4256,0.03191,59.875,61.495,62.439,62.939,63.709,64.229,64.996,66.426,67.855,68.622,69.142,69.912,70.412,71.357,72.976
162,1,66.4835,0.0319,59.93,61.55,62.495,62.995,63.766,64.285,65.053,66.484,67.914,68.682,69.201,69.972,70.472,71.417,73.037
163,1,66.5412,0.03189,59.984,61.605,62.55,63.051,63.822,64.342,65.11,66.541,67.972,68.741,69.261,70.032,70.532,71.478,73.099
164,1,66.5985,0.03187,60.039,61.661,62.607,63.107,63.878,64.399,65.167,66.599,68.03,68.798,69.319,70.09,70.59,71.536,73.158
165,1,66.6556,0.03186,60.093,61.715,62.661,63.163,63.934,64.455,65.223,66.656,68.088,68.857,69.377,70.149,70.65,71.596,73.218
166,1,66.7125,0.03185,60.146,61.769,62.716,63.218,63.989,64.51,65.279,66.713,68.146,68.915,69.436,70.207,70.709,71.656,73.279
167,1,66.7691,0.03183,60.202,61.825,62.772,63.273,64.045,64.566,65.336,66.769,68.203,68.972,69.493,70.265,70.766,71.713,73.337
168,1,66.8254,0.03182,60.254,61.879,62.826,63.328,64.1,64.622,65.391,66.825,68.26,69.029,69.55,70.323,70.825,71.772,73.396
169,1,66.8815,0.03181,60.307,61.932,62.88,63.382,64.155,64.676,65.447,66.882,68.316,69.087,69.608,70.381,70.883,71.831,73.456
170,1,66.9373,0.0318,60.359,61.985,62.934,63.436,64.209,64.731,65.502,66.937,68.373,69.143,69.665,70.439,70.941,71.889,73.515
171,1,66.993,0.03179,60.412,62.039,62.987,63.49,64.264,64.786,65.557,66.993,68.429,69.2,69.722,70.496,70.999,71.947,73.574
172,1,67.0483,0.03177,60.466,62.093,63.042,63.545,64.318,64.841,65.612,67.048,68.485,69.256,69.778,70.552,71.055,72.004,73.631
173,1,67.1035,0.03176,60.518,62.146,63.095,63.598,64.372,64.895,65.666,67.104,68.541,69.312,69.835,70.609,71.112,72.061,73.689
174,1,67.1584,0.03175,60.569,62.198,63.148,63.651,64.426,64.948,65.72,67.158,68.597,69.368,69.891,70.666,71.169,72.119,73.748
175,1,67.2132,0.03174,60.621,62.25,63.201,63.704,64.479,65.002,65.774,67.213,68.652,69.424,69.947,70.722,71.226,72.176,73.806
176,1,67.2677,0.03173,60.672,62.302,63.253,63.757,64.532,65.056,65.828,67.268,68.707,69.48,70.003,70.778,71.282,72.233,73.864
177,1,67.3219,0.03171,60.725,62.356,63.307,63.811,64.586,65.109,65.882,67.322,68.762,69.534,70.058,70.833,71.337,72.288,73.919
178,1,67.376,0.0317,60.776,62.407,63.359,63.863,64.639,65.162,65.935,67.376,68.817,69.59,70.113,70.889,71.393,72.345,73.976
179,1,67.4299,0.03169,60.827,62.459,63.411,63.915,64.691,65.215,65.989,67.43,68.871,69.645,70.168,70.945,71.449,72.401,74.033
180,1,67.4836,0.03168,60.877,62.51,63.463,63.967,64.744,65.268,66.042,67.484,68.926,69.699,70.223,71,71.505,72.457,74.09
181,1,67.5371,0.03167,60.927,62.561,63.514,64.019,64.796,65.32,66.094,67.537,68.98,69.754,70.278,71.055,71.56,72.513,74.147
182,1,67.5904,0.03166,60.978,62.612,63.566,64.071,64.848,65.373,66.147,67.59,69.034,69.808,70.333,71.11,71.615,72.569,74.203
183,1,67.6435,0.03165,61.028,62.663,63.617,64.122,64.9,65.425,66.199,67.644,69.088,69.862,70.387,71.165,71.67,72.624,74.259
184,1,67.6964,0.03164,61.077,62.714,63.668,64.173,64.951,65.476,66.252,67.696,69.141,69.916,70.441,71.22,71.725,72.679,74.315
185,1,67.7491,0.03163,61.127,62.764,63.719,64.224,65.003,65.528,66.304,67.749,69.194,69.97,70.495,71.274,71.779,72.734,74.371
186,1,67.8017,0.03162,61.177,62.814,63.769,64.275,65.054,65.58,66.356,67.802,69.248,70.024,70.549,71.328,71.834,72.789,74.427
187,1,67.8541,0.03161,61.226,62.864,63.82,64.326,65.105,65.631,66.407,67.854,69.301,70.077,70.603,71.382,71.888,72.844,74.482
